datetime,search_config,query_set_id,query,metric,value
2024-07-01,research_1,sampled_queries,rachel ashwell swaddle,dcg,1.0
2024-07-01,research_1,sampled_queries,razer wireless mouse,dcg,1.0
2024-07-01,research_1,sampled_queries,rectaluse only medical stickers,dcg,0.6309297535714575
2024-07-01,research_1,sampled_queries,red casual dress,dcg,1.6309297535714575
2024-07-01,research_1,sampled_queries,rocco skinny jean,dcg,2.1309297535714578
2024-07-01,research_1,sampled_queries,rotuladores,dcg,1.0
2024-07-01,research_1,sampled_queries,runner hex dumbells,dcg,0.0
2024-07-01,research_1,sampled_queries,shakespeare,dcg,2.1309297535714578
2024-07-01,research_1,sampled_queries,showa gloves waterproof,dcg,1.0
2024-07-01,research_1,sampled_queries,sig p365 owb holsters,dcg,1.0
2024-07-01,research_1,sampled_queries,silla amarilla terraza,dcg,1.0
2024-07-01,research_1,sampled_queries,sim 使い放題 日本 制限なし,dcg,1.0
2024-07-01,research_1,sampled_queries,small dog muzzle,dcg,1.6309297535714575
2024-07-01,research_1,sampled_queries,smile mask,dcg,1.0
2024-07-01,research_1,sampled_queries,sound of music dvd,dcg,0.0
2024-07-01,research_1,sampled_queries,spark plug well seals,dcg,0.6309297535714575
2024-07-01,research_1,sampled_queries,spin and sing alphabet zoo,dcg,0.08812629435585911
2024-07-01,research_1,sampled_queries,spray desinfectante sanitario,dcg,0.0
2024-07-01,research_1,sampled_queries,stayfree pads ultra thin with wings,dcg,0.07177346253629313
2024-07-01,research_1,sampled_queries,suede brush and eraser for shoes,dcg,1.0024500206096862
2024-07-01,research_1,sampled_queries,the sausage maker,dcg,1.6333797741811438
2024-07-01,research_1,sampled_queries,theros,dcg,0.0
2024-07-01,research_1,sampled_queries,thomas media 365,dcg,1.5
2024-07-01,research_1,sampled_queries,tiny hands,dcg,2.1309297535714578
2024-07-01,research_1,sampled_queries,tribeca living extra deep pocket flannel sheet set king,dcg,0.0
2024-07-01,research_1,sampled_queries,urban books series paperback,dcg,2.1309297535714578
2024-07-01,research_1,sampled_queries,usa wall art canvas,dcg,1.0
2024-07-01,research_1,sampled_queries,vape pen,dcg,0.003477775028359442
2024-07-01,research_1,sampled_queries,walk on red sole paint,dcg,0.0
2024-07-01,research_1,sampled_queries,werewolf jewelry,dcg,1.0452840130309937
2024-07-01,research_1,sampled_queries,white claw,dcg,0.1170574755672868
2024-07-01,research_1,sampled_queries,winnie the pooh bedding vintage,dcg,1.6309297535714575
2024-07-01,research_1,sampled_queries,women knee high athletic socks,dcg,1.0
2024-07-01,research_1,sampled_queries,women sneakers,dcg,1.0
2024-07-01,research_1,sampled_queries,xlarge,dcg,0.07177346253629313
2024-07-01,research_1,sampled_queries,xyron sticker maker,dcg,0.1170574755672868
2024-07-01,research_1,sampled_queries,yellow glasses,dcg,1.0
2024-07-01,research_1,sampled_queries,zebra zd410 printer,dcg,0.07177346253629313
2024-07-01,research_1,sampled_queries,zesica leopard print cardigan,dcg,1.6309297535714575
2024-07-01,research_1,sampled_queries,zigzag,dcg,0.0
2024-07-01,research_1,sampled_queries,ぷーま,dcg,1.0
2024-07-01,research_1,sampled_queries,ゆうびん番号枠入り はがき 切手なし,dcg,0.6757343888405354
2024-07-01,research_1,sampled_queries,エプロン 子供,dcg,2.1309297535714578
2024-07-01,research_1,sampled_queries,コミックマージナル kindle,dcg,1.9306765580733931
2024-07-01,research_1,sampled_queries,ステンド ステンドグラス,dcg,0.0
2024-07-01,research_1,sampled_queries,ステンレス タンブラー 2個,dcg,0.0
2024-07-01,research_1,sampled_queries,スマホ レーダー探知機,dcg,0.006955550056718884
2024-07-01,research_1,sampled_queries,デジタルフォトフレーム,dcg,1.0
2024-07-01,research_1,sampled_queries,ドラゴンボールフィギュア,dcg,1.0
2024-07-01,research_1,sampled_queries,ナーズ,dcg,0.0
2024-07-01,research_1,sampled_queries,ノースフェイス ホライズンハット,dcg,1.0
2024-07-01,research_1,sampled_queries,ハサン,dcg,1.0177825608059992
2024-07-01,research_1,sampled_queries,バイクモンスターエナジー,dcg,0.5103162591212852
